revid_ctxt,date,rev_time,editor,link,rev_id,token_id,pos,in,out,action,duplicated,left,token,right,nationality,birth_place,Link,Bulk,ali comment,fabian_comment,cluster_4,cluster_10
26479217,2005-10-01,2005-10-25 22:40:57,394460,http://en.wikipedia.org/w/index.php?&diff=26479217,26479217,2127,65,80,7,in,TRUE," a working [[ television ]] . baird was born in [[ helensburgh ]] , [[",argyll," and bute ]] , [[ scotland ]] , and educated at [[ larchfield school",N,Y,N,N,,,-1,14
26479217,2005-10-01,2005-10-25 22:40:57,394460,http://en.wikipedia.org/w/index.php?&diff=26479217,26479217,2180,1163,80,7,in,TRUE," category : 1946 deaths | baird , john logie ]] [[ category : natives of",argyll," and bute | baird , john logie ]] [[ category : scottish engineers |",N,Y,N,N,,,-1,6
34662413,2006-01-01,2006-01-10 21:30:28,285145,http://en.wikipedia.org/w/index.php?&diff=34662413,34662413,2507,1467,113,0,in,TRUE," 13 ]] [[ 1888 ]] | place of birth = [[ helensburgh ]] , [[",argyll," and bute ]] , [[ scotland ]] | date of death = [[ june",N,Y,N,Y,,,6,8
36934652,2006-02-01,2006-02-09 20:57:38,0|83.67.35.41,http://en.wikipedia.org/w/index.php?&diff=38966139,38966139,2127,72,1,3,out,TRUE," = birth and education = = baird was born in [[ helensburgh ]] , [[",argyll," and bute ]] , [[ scotland ]] , and educated at [[ larchfield school",N,Y,N,N,,,13,14
39102207,2006-02-01,2006-02-10 19:03:16,0|88.106.6.4,http://en.wikipedia.org/w/index.php?&diff=39102207,39102207,2574,72,1,1,in,FALSE," = birth and education = = baird was born in [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] , and educated at [[ larchfield school ]] (",N,Y,N,N,,,13,14
114564719,2007-03-01,2007-03-12 16:01:55,0|151.188.16.36,http://en.wikipedia.org/w/index.php?&diff=114565353,114565353,2574,171,0,13,out,TRUE," birth and education = = = baird was born in [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] . he was educated at [[ larchfield school ]]",N,Y,N,N,,,-1,-1
114565915,2007-03-01,2007-03-12 16:04:38,292494,http://en.wikipedia.org/w/index.php?&diff=114565915,114565915,2574,171,1667,0,rein,TRUE," birth and education = = = baird was born in [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] . he was educated at [[ larchfield school ]]",N,Y,N,Y,,,-1,-1
157889232,2007-09-01,2007-09-14 17:52:32,0|209.232.155.39,http://en.wikipedia.org/w/index.php?&diff=157889660,157889660,2574,156,1,397,out,TRUE," television ' s invention ]] . baird was born in [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] . he was educated at [[ larchfield school ]]",N,Y,N,Y,,,-1,-1
157889687,2007-09-01,2007-09-14 17:52:46,3378640,http://en.wikipedia.org/w/index.php?&diff=157889687,157889687,2574,156,397,1,rein,TRUE," television ' s invention ]] . baird was born in [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] . he was educated at [[ larchfield school ]]",N,Y,N,Y,,,-1,-1
157889728,2007-09-01,2007-09-14 17:56:40,0|209.232.155.39,http://en.wikipedia.org/w/index.php?&diff=157890340,157890340,2574,153,0,432,out,TRUE," television ' s invention ]] . baird was born in [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] . he was educated at [[ larchfield school ]]",N,Y,N,Y,,,-1,-1
157890567,2007-09-01,2007-09-14 17:57:57,340124,http://en.wikipedia.org/w/index.php?&diff=157890567,157890567,2574,153,432,0,rein,TRUE," television ' s invention ]] . baird was born in [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] . he was educated at [[ larchfield school ]]",N,Y,N,Y,,,-1,-1
201388969,2008-03-01,2008-03-27 19:12:01,0|67.170.37.110,http://en.wikipedia.org/w/index.php?&diff=201388969,201388969,6984,1000,3574,0,in,TRUE," television ' s invention ]] . baird was born in [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] . he was educated at [[ larchfield school ]]",N,Y,N,Y,,,0,59
201388969,2008-03-01,2008-03-27 19:12:01,0|67.170.37.110,http://en.wikipedia.org/w/index.php?&diff=201388969,201388969,9962,6809,3574,0,in,TRUE," ]] , [[ 1888 ]] | place of birth = [[ helensburgh ]] , [[",argyll," and bute ]] , [[ scotland ]] | date of death = [[ june",N,Y,N,Y,,,0,0
201388969,2008-03-01,2008-03-27 19:12:01,0|67.170.37.110,http://en.wikipedia.org/w/index.php?&diff=201388969,201388969,10021,6868,3574,0,in,TRUE, : 1888 births ]] [[ category : 1946 deaths ]] [[ category : people from,argyll, and bute ]] [[ category : scottish engineers ]] [[ category : scottish inventors,N,Y,N,Y,,,0,0
202196221,2008-03-01,2008-03-31 01:34:36,1639760,http://en.wikipedia.org/w/index.php?&diff=202196770,202196770,6984,1000,30,316,out,TRUE," television ' s invention ]] . baird was born in [[ helensburgh ]] , [[",argyll," ]] , [[ scotland ]] . he was educated at [[ larchfield school ]]",N,Y,N,Y,,,-1,-1
205473583,2008-04-01,2008-04-19 02:00:42,95903,http://en.wikipedia.org/w/index.php?&diff=206614281,206614281,9962,5772,0,2734,out,TRUE," ]] , [[ 1888 ]] | place of birth = [[ helensburgh ]] , [[",argyll," and bute ]] , [[ scotland ]] | date of death = [[ june",N,Y,N,Y,,,34,44
205473583,2008-04-01,2008-04-19 02:00:42,95903,http://en.wikipedia.org/w/index.php?&diff=206614281,206614281,10021,5831,0,2734,out,TRUE, : 1888 births ]] [[ category : 1946 deaths ]] [[ category : people from,argyll, and bute ]] [[ category : scottish engineers ]] [[ category : scottish inventors,N,Y,N,Y,,,34,44
